,😂,❤️,😍,😭,♻️,♥️,😊,💕,😒,😘,😔,😩,☺️,😁,👌,😏,😉,👍,😅,🙏,👀,🔥,💔,😌,💙
20201102-165633,5515,3573,1780,3881,37,644,875,595,396,580,1460,497,440,807,315,433,628,974,818,1026,965,781,650,751,563
20201102-170134,5466,3487,1777,3948,43,773,896,595,381,575,1496,534,461,885,313,431,649,950,926,1084,948,803,712,727,558
20201102-170634,5457,3665,1908,4088,44,743,910,617,364,565,1500,497,457,887,321,504,730,914,907,1090,992,869,624,675,554
20201102-171136,5652,3577,1832,3935,49,738,902,565,391,606,1606,549,481,837,345,492,658,959,910,1023,1027,805,690,656,508
20201102-171636,5654,3540,1904,4001,52,722,929,597,376,646,1431,521,417,935,328,522,632,1033,872,1053,967,875,652,696,561
20201102-172137,5507,3415,1779,3799,49,731,876,588,380,570,1502,474,398,889,314,513,635,983,822,1021,1014,785,643,688,565
20201102-172641,5721,3498,1836,3932,42,708,876,572,416,590,1559,549,423,906,334,469,661,970,876,1071,944,838,670,679,554
20201102-173141,5665,3726,1869,4010,34,728,933,529,374,634,1529,552,477,856,309,480,642,977,862,999,993,875,627,746,551
20201102-173642,5513,3519,1795,3988,42,683,921,560,369,611,1484,568,420,899,322,498,682,926,821,1005,970,793,588,710,535
20201102-174142,5468,3434,1786,3827,55,688,904,590,395,587,1461,526,455,836,362,500,695,897,840,999,970,802,649,677,585
20201102-174643,5558,3432,1728,3833,60,708,880,592,382,629,1426,542,406,902,341,472,680,884,860,1013,994,801,611,667,535
20201102-175143,5540,3480,1837,3671,59,744,766,555,384,629,1445,552,381,862,329,461,670,952,821,1026,1034,891,635,669,543
20201102-175644,5580,3434,1739,3626,46,724,915,586,360,588,1509,522,422,894,348,501,701,910,860,1047,1047,787,669,651,502
20201102-180144,5496,3692,1831,3663,36,697,882,552,396,558,1469,526,430,869,353,503,683,949,820,970,976,817,677,632,477
20201102-180645,5592,3767,1999,3700,52,754,953,607,407,651,1514,529,383,914,376,495,666,963,816,1056,1027,887,683,646,589
20201102-181145,5558,3582,1909,3648,75,707,935,494,394,573,1433,517,419,834,331,467,654,920,853,1000,1004,822,631,690,550
20201102-181646,5461,3507,1818,3552,56,678,858,539,399,544,1444,530,409,854,342,496,662,885,860,957,1021,827,590,634,529
20201102-182146,5509,3407,1745,3545,41,668,874,550,381,530,1359,502,424,832,330,470,648,909,848,878,934,827,684,625,498
20201102-182647,5596,3320,1721,3623,43,696,885,529,343,620,1490,511,440,849,347,536,679,890,790,906,937,827,691,641,516
20201102-183147,5516,3412,1736,3502,45,748,842,506,353,564,1356,489,443,806,373,497,708,958,858,937,992,783,677,620,481
20201102-183647,5624,3416,1746,3434,39,709,857,508,357,515,1475,507,413,794,350,489,737,940,797,960,900,803,680,628,510
20201102-184148,5484,3393,1728,3490,38,647,833,540,407,603,1404,504,385,866,382,483,675,916,823,936,957,759,678,658,487
20201102-184648,5518,3419,1729,3539,46,670,899,566,372,557,1376,477,412,923,349,463,723,948,843,931,956,762,646,688,546
20201102-185149,5616,3244,1631,3325,45,667,862,530,397,545,1371,500,432,863,310,439,630,910,807,849,966,764,624,658,487
20201102-185650,5568,3349,1686,3404,38,676,804,522,375,562,1290,462,412,842,296,483,654,954,853,936,883,781,673,633,486
20201102-190150,5656,3285,1781,3267,55,745,849,502,341,580,1383,505,422,849,331,472,693,928,839,1003,1047,814,664,631,546
20201102-190652,5320,3347,1837,3267,55,760,844,496,400,583,1362,461,393,832,325,490,693,996,871,1016,924,822,696,615,574
20201102-191153,5401,3398,1762,3340,50,716,829,506,369,556,1364,495,393,786,302,430,678,946,796,1019,945,795,653,604,528
20201102-191653,5362,3205,1677,3335,74,677,832,483,381,580,1390,455,406,815,310,507,688,895,793,903,955,755,588,564,497
20201102-192154,5512,3305,1654,3299,63,683,801,498,374,566,1364,497,379,843,325,478,684,934,795,878,912,681,668,641,486
20201102-192655,5333,3173,1652,3228,55,651,847,488,368,562,1469,510,360,835,321,527,698,922,800,870,943,794,630,648,505
20201102-193155,5393,3262,1703,3259,60,736,885,555,339,564,1435,467,374,811,317,491,618,901,806,871,944,967,643,632,548
20201102-193656,5406,3356,1685,3312,51,660,812,496,350,574,1409,477,361,841,292,465,649,875,808,883,901,785,609,564,556
20201102-194156,5438,3343,1753,3193,42,691,782,515,326,575,1482,474,367,827,316,463,690,910,788,913,972,749,651,626,533
20201102-194657,5312,3308,1620,3275,47,728,814,470,365,552,1578,465,388,828,293,502,680,890,863,960,1013,739,661,608,538
20201102-195157,5503,3400,1647,3227,39,737,758,515,361,557,1527,464,382,843,345,493,682,929,750,987,952,861,680,577,560
20201102-195702,5336,3334,1707,3264,52,682,814,537,384,576,1516,506,363,814,309,509,647,903,816,926,981,812,663,610,538
20201102-200202,5294,3575,1823,3321,51,681,859,555,337,505,1506,512,373,846,320,469,676,928,794,990,1000,857,647,580,546
20201102-200703,5334,3415,1743,3288,54,695,811,526,331,595,1417,511,363,776,319,476,657,963,811,985,950,792,629,624,570
20201102-201203,5321,3301,1702,3301,58,668,833,508,345,539,1425,492,360,748,303,477,681,919,821,945,964,758,611,593,544
20201102-201704,5303,3380,1637,3213,53,633,800,489,377,519,1523,439,368,825,285,459,641,887,756,919,956,868,626,571,521
20201102-202204,5310,3228,1709,3222,53,678,775,493,333,528,1571,489,382,775,280,444,629,872,790,962,955,810,713,572,517
20201102-202707,5273,3213,1665,3186,43,641,775,539,359,555,1529,495,341,797,326,496,661,871,778,869,927,751,678,574,526
20201102-203207,5339,3222,1676,3229,45,701,726,493,396,551,1470,491,360,813,298,478,686,900,767,916,1004,776,647,577,469
20201102-203708,5151,3302,1546,3224,41,656,779,518,321,556,1457,470,349,792,300,489,624,914,707,970,904,842,637,558,510
20201102-204208,5235,3397,1602,3199,49,684,713,537,338,579,1453,487,377,790,268,459,668,847,741,892,971,731,708,584,551
20201102-204709,5045,3157,1599,3124,51,664,744,488,397,509,1453,521,374,757,292,465,682,831,734,947,904,722,627,582,499
20201102-205209,5281,3228,1669,3153,38,668,771,473,334,530,1519,472,326,777,302,454,656,817,743,996,906,738,724,557,531
20201102-205710,5118,3282,1551,3124,46,676,813,479,339,528,1493,460,351,738,279,470,699,827,797,939,969,666,695,583,543
20201102-210210,5135,3471,1620,3216,44,735,835,496,340,505,1461,446,335,795,292,455,696,859,713,927,918,784,659,568,518
20201102-210710,4979,3348,1618,3087,50,672,705,516,348,541,1455,440,347,780,263,436,656,878,692,926,939,720,701,567,508
20201102-211211,5026,3466,1685,3140,43,699,743,512,330,559,1619,460,376,731,267,485,614,859,791,935,994,727,629,551,534
